barcode	filesize	read_length	reads_total	reads_mapped
TCGA-CV-6936-01A-11R-1915-07	8872905894	48	202731863	196503432
TCGA-CV-6937-01A-11R-2016-07	4748375369	48	115261403	112819292
TCGA-CV-6938-01A-11R-1915-07	4013468725	48	88498063	85940168
TCGA-CV-6939-01A-11R-1915-07	7397636562	48	160888754	156409109
TCGA-CV-6940-01A-11R-1915-07	6750460126	48	154528698	151583347
TCGA-CV-6942-01A-21R-2016-07	5121898276	48	122105120	117145679
TCGA-CV-6943-01A-11R-1915-07	10641998172	48	233293705	223483930
TCGA-CV-6945-01A-11R-1915-07	7960069217	48	198964913	191123664
TCGA-CV-6950-01A-11R-1915-07	10935990801	48	235653425	229879932
TCGA-CV-6951-01A-11R-1915-07	6933982456	48	159653375	154905579
TCGA-CV-6952-01A-11R-1915-07	6735676517	48	167974428	164487433
TCGA-CV-6953-01A-11R-1915-07	6082085926	48	148227421	137717380
TCGA-CV-6954-01A-11R-1915-07	8677175584	48	206419552	196595307
TCGA-CV-6955-01A-11R-2016-07	6155865139	48	153215688	149236847
TCGA-CV-6956-01A-21R-2016-07	5792854687	48	143124021	138046528
TCGA-CV-6959-01A-11R-1915-07	9153960441	48	209630221	203254370
TCGA-CV-6960-01A-41R-2016-07	7324414269	48	168005469	164069976
TCGA-CV-6961-01A-21R-1915-07	10194134968	48	226245434	219188595
TCGA-CV-6962-01A-11R-1915-07	8701419600	48	185363677	180920797
TCGA-CV-7089-01A-11R-2016-07	7303697240	48	170659040	166039765
TCGA-CV-7090-01A-11R-2016-07	6030584969	48	140205662	136350473
TCGA-CV-7091-01A-11R-2016-07	8436473983	48	189713526	184713476
TCGA-CV-7095-01A-21R-2016-07	5369392939	48	129880074	126858891
TCGA-CV-7097-01A-11R-2016-07	7101436681	48	168356882	163887483
TCGA-CV-7099-01A-41R-2016-07	6288503981	48	155018672	151186423
TCGA-CV-7100-01A-11R-2016-07	4981770211	48	119640891	114844888
TCGA-CV-7101-01A-11R-2016-07	7946027651	48	185853671	179380114
TCGA-CV-7102-01A-11R-2016-07	7575039742	48	171002904	166196145
TCGA-CV-7103-01A-21R-2016-07	8381667350	48	186735843	181601657
TCGA-CV-7104-01A-11R-2016-07	5652528504	48	145781877	141757590
TCGA-CV-7177-01A-11R-2016-07	3832167399	48	91635912	89538672
TCGA-CV-7178-01A-21R-2016-07	9705026479	48	209295725	203495333
TCGA-CV-7180-01A-11R-2016-07	5593951824	48	130135816	126584786
TCGA-CV-7183-01A-11R-2016-07	6902393241	48	159058344	154350649
TCGA-CV-7235-01A-11R-2016-07	6916598662	48	155340990	151453672
TCGA-CV-7236-01A-11R-2016-07	7821550256	48	173445755	168182704
TCGA-CV-7238-01A-11R-2016-07	8002882052	48	180031740	174733503
TCGA-CV-7242-01A-11R-2016-07	10496690301	48	276218376	149339543
TCGA-CV-7243-01A-11R-2016-07	8012747890	48	193043648	188448449
TCGA-CV-7247-01A-11R-2016-07	8175349645	48	190560974	185901318
TCGA-CV-7248-01A-11R-2016-07	9481415138	48	218715316	210905181
TCGA-CV-7250-01A-11R-2016-07	6506249668	48	143153025	139726727
TCGA-CV-7252-01A-11R-2016-07	7396445399	48	167702900	163107480
TCGA-CV-7253-01A-11R-2016-07	10681036230	48	231711423	223206442
TCGA-CV-7254-01A-11R-2016-07	5913129638	48	135890489	130881162
TCGA-CV-7255-01A-11R-2016-07	10010902390	48	239792403	234166060
TCGA-CV-7261-01A-11R-2016-07	5769646838	48	132923747	129401862
TCGA-CV-7263-01A-11R-2016-07	8563489134	48	199954355	195205203
TCGA-CV-7406-01A-11R-2081-07	7845309550	48	181800677	178604642
TCGA-CV-7407-01A-11R-2081-07	7394571546	48	177767912	174381869
TCGA-CV-7409-01A-31R-2232-07	6624536759	48	163040495	159768996
TCGA-CV-7410-01A-21R-2081-07	8193240821	48	191052222	182041363
TCGA-CV-7411-01A-11R-2081-07	8687762069	48	204523813	194073437
TCGA-CV-7413-01A-11R-2081-07	8152823908	48	187213089	177673449
TCGA-CV-7414-01A-11R-2081-07	9147570560	48	210654444	200630981
TCGA-CV-7416-01A-11R-2081-07	8016884075	48	187290055	183590350
TCGA-CV-7418-01A-11R-2081-07	8435251435	48	195087341	190895124
TCGA-CV-7421-01A-11R-2081-07	6815099718	48	165727582	162841461
TCGA-CV-7423-01A-11R-2081-07	7738419509	48	184303808	175732427
TCGA-CV-7424-01A-11R-2081-07	8312728692	48	194917787	183112435
TCGA-CV-7425-01A-11R-2081-07	7454818190	48	167799591	162816850
TCGA-CV-7427-01A-11R-2081-07	7805955944	48	185676431	153682710
TCGA-CV-7428-01A-11R-2132-07	7102866339	48	169351712	163970114
TCGA-CV-7429-01A-11R-2132-07	6998745372	48	167113372	163960683
TCGA-CV-7430-01A-11R-2132-07	8347517994	48	197580122	194000471
TCGA-CV-7432-01A-11R-2132-07	7411968005	48	176253226	173036384
TCGA-CV-7433-01A-11R-2132-07	7987097891	48	190990804	183514738
TCGA-CV-7434-01A-11R-2132-07	7848926678	48	187077304	180610084
TCGA-CV-7437-01A-21R-2132-07	7338299994	48	175163754	166648089
TCGA-CV-7440-01A-11R-2132-07	8287977638	48	169759512	166069272
TCGA-CV-A45O-01A-21R-A24H-07	6305082736	48	140360257	136658704
TCGA-CV-A45P-01A-11R-A24H-07	6792002852	48	150054175	146030476
TCGA-CV-A45Q-01A-11R-A24H-07	6014645388	48	145491789	137352600
TCGA-CV-A45R-01A-11R-A24H-07	6346569063	48	140170419	135572051
TCGA-CV-A45T-01A-11R-A24H-07	6612041293	48	146551423	142270006
TCGA-CV-A45U-01A-12R-A24H-07	7008955657	48	153249306	149187366
TCGA-CV-A45V-01A-21R-A24Z-07	5761965995	48	134269877	130630610
TCGA-CV-A45W-01A-11R-A24Z-07	6180802151	48	142887166	134387379
TCGA-CV-A45X-01A-21R-A24Z-07	5929325481	48	136420781	130241024
TCGA-CV-A45Y-01A-11R-A24Z-07	5697168507	48	131352300	126494757
TCGA-CV-A45Z-01A-21R-A24Z-07	5854185623	48	133785409	129130444
TCGA-CV-A460-01A-21R-A24Z-07	5692551172	48	131286345	121116876
TCGA-CV-A461-01A-41R-A266-07	6582329470	48	148888536	143463584
